Fecha,TIIE_28,Tipo_Cambio_FIX,INPC,Inflacion_Anual,TIIE_28_Diff
2011-02-01,4.8410631578947365,12.070321052631579,4.53,-26.101141924959215,-0.017927318295739347
2011-03-01,4.840768181818182,11.999172727272729,2.46,-66.16231086657496,-0.0002949760765549314
2011-04-01,4.846084210526316,11.718399999999999,3.9,-27.509293680297397,0.005316028708134191
2011-05-01,4.847154545454545,11.653295454545455,3.45,-8.244680851063823,0.0010703349282294994
2011-06-01,4.8454227272727275,11.806018181818182,3.34,4.702194357366762,-0.0017318181818177791
2011-07-01,4.821342857142857,11.672557142857142,4.51,37.5,-0.024079870129870784
2011-08-01,4.808,12.231913043478261,3.9,7.14285714285714,-0.013342857142856879
2011-09-01,4.777595238095238,13.04451904761905,2.98,-22.7979274611399,-0.030404761904762267
2011-10-01,4.794266666666666,13.435004761904763,3.09,-45.789473684210535,0.01667142857142867
2011-11-01,4.799825,13.69929,4.13,-37.518910741301056,0.005558333333333998
2011-12-01,4.798061904761904,13.768880952380952,5.34,-24.682651622002826,-0.0017630952380960352
2012-01-01,4.787345454545455,13.417777272727273,6.38,18.36734693877551,-0.010716450216449402
2012-02-01,4.78423,12.78306,5.53,22.07505518763797,-0.00311545454545481
2012-03-01,4.7692523809523815,12.756699999999999,5.12,108.13008130081303,-0.014977619047618518
2012-04-01,4.743826315789474,13.069673684210526,3.49,-10.51282051282051,-0.025426065162907463
2012-05-01,4.760209090909091,13.663381818181819,5.15,49.27536231884058,0.01638277511961661
2012-06-01,4.763290476190476,13.91920476190476,7.26,117.36526946107784,0.0030813852813853515
2012-07-01,4.7778909090909085,13.366081818181819,7.3,61.86252771618626,0.014600432900432558
2012-08-01,4.788165217391304,13.184521739130433,7.58,94.35897435897435,0.010274308300395774
2012-09-01,4.802305,12.939435,8.81,195.63758389261747,0.014139782608695306
2012-10-01,4.816973913043478,12.891,8.07,161.16504854368935,0.014668913043478504
2012-11-01,4.842805,13.0746,7.09,71.67070217917674,0.025831086956522142
2012-12-01,4.842089473684211,12.87047894736842,5.74,7.490636704119846,-0.0007155263157896385
2013-01-01,4.841322727272727,12.699,4.47,-29.937304075235115,-0.0007667464114833322
2013-02-01,4.82311052631579,12.722884210526317,5.47,-1.0849909584086936,-0.01821220095693743
2013-03-01,4.4823666666666675,12.524722222222222,8.29,61.91406249999998,-0.34074385964912235
2013-04-01,4.334563636363637,12.20504090909091,10.32,195.702005730659,-0.14780303030303088
2013-05-01,4.316454545454546,12.311486363636364,10.56,105.0485436893204,-0.018109090909090853
2013-06-01,4.303635,12.959575000000001,8.39,15.564738292011038,-0.012819545454545889
2013-07-01,4.3183043478260865,12.76585652173913,6.6,-9.589041095890416,0.014669347826086643
2013-08-01,4.30615,12.91780909090909,7.01,-7.519788918205805,-0.01215434782608682
2013-09-01,4.1049050000000005,13.075905,6.2,-29.625425652667424,-0.20124499999999923
2013-10-01,3.9768565217391303,12.999217391304349,6.18,-23.420074349442388,-0.12804847826087018
2013-11-01,3.78953,13.079555,7.02,-0.9873060648801224,-0.18732652173913023
2013-12-01,3.7903350000000002,13.00755,7.84,36.58536585365852,0.0008050000000001667
2014-01-01,3.7819727272727275,13.223022727272728,8.58,91.94630872483222,-0.008362272727272746
2014-02-01,3.787052631578947,13.280778947368422,8.28,51.37111517367459,0.005079904306219518
2014-03-01,3.8012950000000005,13.195085,6.54,-21.109770808202644,0.01424236842105353
2014-04-01,3.8064349999999996,13.070834999999999,4.75,-53.97286821705427,0.005139999999999034
2014-05-01,3.802509523809524,12.924733333333332,5.19,-50.85227272727273,-0.003925476190475674
2014-06-01,3.4286476190476187,12.995761904761904,5.96,-28.96305125148987,-0.3738619047619052
2014-07-01,3.297508695652174,12.990443478260868,6.83,3.4848484848484906,-0.13113892339544453
2014-08-01,3.2985523809523807,13.140638095238094,6.72,-4.1369472182596345,0.0010436853002064872
2014-09-01,3.2893142857142856,13.235204761904763,7.11,14.677419354838705,-0.009238095238095045
2014-10-01,3.2919130434782606,13.476252173913043,7.51,21.521035598705506,0.0025987577639750015
2014-11-01,3.287321052631579,13.621605263157894,6.78,-3.4188034188034067,-0.004591990846681604
2014-12-01,3.2997238095238095,14.512895238095238,6.7,-14.540816326530603,0.012402756892230471
2015-01-01,3.30162380952381,14.692585714285716,5.34,-37.76223776223776,0.0019000000000004569
2015-02-01,3.2970894736842107,14.921342105263157,4.88,-41.062801932367144,-0.0045343358395992794
2015-03-01,3.3029095238095243,15.228338095238096,5.29,-19.113149847094803,0.005820050125313614
